-1.48;-8.74;1.40;1.95;0.28;-1.04
-1.59;-8.93;1.78;0.00;-1.25;1.60
-1.55;-8.78;1.85;-5.36;-1.60;-2.57
-1.26;-8.74;1.58;-2.57;2.09;-1.60
-1.37;-8.71;1.51;-0.21;2.92;1.67
-1.44;-8.71;1.51;0.28;-0.14;-1.39
-1.51;-8.74;1.54;0.56;-0.28;0.70
-1.48;-8.82;1.58;2.71;2.64;0.21
-1.55;-8.78;1.58;2.30;-2.30;-2.64
-1.26;-8.67;1.71;2.43;-1.53;-1.60
-1.14;-8.67;1.75;1.04;1.95;2.16
-1.59;-8.78;1.75;-0.97;1.81;2.92
-1.77;-8.78;1.82;-2.09;3.69;-1.18
-1.51;-8.71;1.44;-2.50;2.37;-4.38
-1.40;-8.74;1.37;1.39;5.01;-2.78
-1.62;-9.04;1.85;0.97;2.50;0.42
-1.55;-8.82;2.19;-9.32;9.11;-4.10
-1.33;-8.89;1.27;-5.50;7.23;-5.98
-0.89;-8.82;1.71;-2.64;4.94;1.88
-1.40;-8.96;1.99;-7.72;9.67;4.38
-1.44;-8.93;1.51;-3.20;6.75;1.53
-1.18;-8.93;1.54;0.28;2.92;0.21
-1.26;-8.89;1.82;1.53;2.37;1.67
-1.37;-8.67;1.68;-2.78;5.84;-1.25
-1.40;-8.85;1.54;-3.13;-1.46;0.90
-1.59;-8.78;1.47;-0.56;9.60;-0.56
-1.59;-8.63;1.23;-0.49;5.84;-4.59
-1.18;-9.04;1.30;9.74;1.25;0.07
-1.44;-8.71;1.75;11.06;-3.27;3.27
-1.55;-8.45;1.71;4.80;4.80;-2.30
-1.07;-8.48;1.58;-0.21;7.03;0.63
-1.55;-8.56;1.34;5.63;-1.88;2.30
-1.88;-8.74;1.44;9.74;8.42;-1.11
-0.78;-8.71;1.95;-1.88;17.32;2.02
-1.66;-8.82;1.75;-6.75;0.35;1.39
-1.29;-8.59;0.96;2.50;3.27;-3.62
-0.89;-8.74;1.37;9.81;8.28;6.82
-1.99;-8.85;1.82;5.36;-0.07;5.43
-1.44;-8.63;1.16;7.37;5.91;-2.85
-1.55;-8.67;1.40;5.91;-5.29;-9.74
-0.92;-8.67;1.47;16.14;-16.56;-7.17
-0.30;-9.04;0.45;50.09;-5.57;11.41
-2.10;-8.56;2.81;55.23;-29.22;6.89
-1.11;-8.59;3.91;10.30;-3.55;-1.53
-1.62;-8.59;2.67;-10.23;2.85;-0.35
-2.14;-9.07;2.64;-16.00;14.75;-0.70
-1.59;-8.67;2.02;-8.28;10.16;3.34
-1.59;-8.56;2.06;-15.30;19.06;-4.59
-0.66;-8.85;1.78;-13.50;6.96;8.35
-1.07;-8.67;1.78;-0.14;8.56;18.43
-1.74;-8.93;2.06;8.90;2.37;17.74
-1.85;-8.78;2.26;3.13;-5.15;6.54
-1.81;-8.74;2.30;-2.99;-0.07;10.50
-2.33;-8.74;1.85;-5.01;-0.56;5.22
-1.92;-8.71;1.68;2.37;-1.39;0.28
-2.25;-8.82;1.82;19.13;-0.56;-6.12
-1.40;-8.48;2.16;16.63;-7.72;-9.04
-1.07;-8.74;2.16;21.63;10.37;3.90
