0.03;0.17;9.82;-0.07;-0.14;0.21
0.03;0.21;9.86;-0.14;-0.07;0.21
0.07;0.17;9.86;-0.14;-0.14;0.35
0.07;0.14;9.75;-0.21;-0.14;0.00
0.03;0.17;9.82;-0.14;0.00;0.00
0.03;0.17;9.82;-0.21;-0.21;0.21
0.07;0.14;9.82;-0.14;-0.07;0.21
0.07;0.17;9.89;0.00;-0.21;0.14
0.07;0.17;9.82;-0.35;-0.42;0.00
0.07;0.17;9.86;-0.35;-0.21;0.21
0.03;0.17;9.79;-0.35;-0.21;0.28
0.03;0.17;9.82;-0.14;-0.28;0.21
0.03;0.17;9.82;-0.07;-0.07;0.21
0.25;0.32;9.86;-0.07;0.77;5.29
0.10;0.21;9.86;-0.28;0.35;0.28
0.07;0.17;9.79;-0.28;-0.07;0.07
-0.07;0.21;9.86;-2.92;2.57;-10.02
0.03;0.32;9.79;-0.21;0.28;-3.13
0.10;-0.47;9.79;-10.78;5.50;1.53
-0.07;-1.00;9.57;-40.63;5.77;4.59
-0.93;-2.11;9.11;-2.50;86.61;-6.12
-1.11;-1.11;8.89;-14.12;-39.10;-16.21
-0.65;-1.86;9.71;0.63;21.98;-13.08
-2.43;-1.68;10.71;-1.46;17.81;40.77
-1.00;-1.58;12.50;37.36;65.46;-8.63
0.10;-0.18;8.97;14.33;-23.17;12.73
-0.97;-0.33;10.00;22.05;-51.48;0.97
0.28;0.24;9.57;6.26;-6.12;-0.14
-0.47;0.10;9.32;-7.23;9.04;-6.61
-1.14;-0.11;9.93;-0.70;6.47;1.46
-0.75;0.07;9.75;15.37;-2.43;-4.87
-0.72;0.32;9.86;7.86;1.95;1.18
-0.57;0.32;9.64;3.55;-1.74;0.90
-0.72;0.14;9.68;-10.09;9.53;-1.11
-0.68;0.14;9.36;0.97;-8.56;2.57
-0.57;0.10;9.79;0.56;-5.43;1.46
-0.57;0.07;9.86;-5.36;-3.76;-0.49
-0.65;0.07;9.75;-2.92;1.67;0.28
-0.47;0.07;9.71;-1.81;-0.28;1.39
-0.57;-0.04;9.71;-4.17;-1.18;-2.09
-0.65;-0.08;9.96;6.05;1.88;0.21
-0.75;-0.01;9.82;11.41;-1.95;2.99
-0.75;-0.01;9.50;2.78;-13.77;1.11
-0.72;-0.04;9.79;-2.16;5.29;-0.90
-0.36;0.14;9.75;-3.55;0.49;-5.36
-0.57;-0.11;9.96;0.07;-0.77;-2.85
-0.32;-0.04;9.93;-3.55;-4.38;-3.41
-0.15;-0.04;10.11;0.83;-2.57;0.49
-0.11;-0.04;9.75;-1.11;-4.24;0.90
-0.11;-0.01;9.89;-1.53;0.42;-0.42
-0.11;-0.04;9.86;-2.30;1.53;0.14
-0.07;-0.01;9.79;-3.76;-2.71;-5.29
-0.15;-0.15;9.75;-2.37;0.28;-5.84
-0.22;-0.18;10.00;3.34;15.93;-1.39
-0.11;0.10;10.32;32.56;6.61;-7.30
-0.04;0.89;10.93;75.90;6.26;-8.07
-0.29;1.88;9.75;156.24;-1.53;9.60
