2.74;-1.61;9.18
2.74;-1.65;9.07
2.89;-1.68;9.21
2.81;-1.72;9.18
2.74;-1.72;9.39
2.81;-1.68;9.71
2.78;-1.65;8.89
2.71;-1.86;9.04
2.78;-1.65;9.50
2.92;-1.75;9.32
2.96;-1.72;9.18
2.85;-1.86;8.75
3.03;-1.75;9.18
2.64;-1.86;9.36
2.71;-1.90;8.93
2.85;-1.90;9.46
2.81;-1.72;9.14
2.60;-1.75;9.39
2.81;-1.61;9.61
2.71;-1.86;9.29
2.67;-1.83;9.11
2.60;-1.75;9.04
2.49;-1.79;9.21
2.64;-1.90;9.21
2.64;-1.90;9.07
2.46;-1.65;9.32
2.71;-1.54;8.75
3.21;-2.00;10.00
3.14;-1.43;9.54
3.56;-0.26;11.50
2.14;-0.93;8.68
2.57;-0.08;9.00
2.46;0.39;10.57
0.75;1.21;8.29
2.89;0.17;10.00
1.46;2.28;8.57
-0.07;2.42;6.08
3.81;-0.22;10.21
2.96;-0.43;7.50
3.17;-0.33;10.39
3.49;-0.79;9.75
2.67;-0.15;9.46
2.57;-0.54;9.68
1.85;-0.18;9.25
1.32;-0.47;10.00
0.85;-0.65;10.25
-0.07;0.24;10.32
-1.97;-0.04;9.00
-2.14;-0.58;9.46
-2.68;-1.22;9.61
-3.50;-1.29;8.39
-4.50;-0.90;8.75
-4.43;-1.86;7.25
-6.50;-1.29;6.86
-7.32;-0.47;5.04
-8.28;-0.86;3.40
-8.46;-0.97;4.93
-6.92;-1.90;0.97
-8.07;-1.18;-4.52
-7.28;-0.68;-2.49
-6.89;-0.26;-4.55
-6.14;-0.26;-4.63
-5.28;0.49;-6.48
-3.57;0.46;-8.48
0.35;0.32;-9.37
-2.50;1.49;-1.95
1.53;-0.51;-10.98
2.53;-0.08;-7.84
2.39;-0.68;-5.66
6.49;-2.22;-6.09
5.21;-0.51;-5.80
7.49;-1.00;-7.19
7.67;-0.04;-6.27
8.13;-1.43;-3.09
9.31;-0.18;-2.91
10.16;-0.04;-0.77
10.91;0.46;2.72
7.70;0.46;2.44
7.24;-0.36;8.86
5.53;-1.97;5.75
4.60;-2.36;7.57
3.17;-1.29;9.32
2.24;-0.72;9.61
2.32;-1.90;7.22
2.71;-2.29;8.32
2.14;-2.18;9.04
2.17;-2.07;9.11
2.81;-2.25;9.39
2.42;-1.33;8.75
2.39;-0.93;9.36
3.10;-1.18;9.79
3.46;-1.86;9.00
3.71;-0.97;12.14
3.21;-1.36;8.00
3.06;-1.33;8.00
2.99;-1.58;9.89
3.21;-1.86;11.11
2.07;-1.90;9.57
2.57;-3.97;11.03
2.35;-3.79;9.36
2.49;-4.79;7.93
2.78;-6.46;7.82
2.17;-6.36;6.86
2.14;-7.18;3.08
2.07;-7.50;1.40
2.35;-7.60;-0.45
2.39;-7.07;-3.41
2.67;-5.78;-4.91
1.89;-3.07;-8.76
-0.40;-0.97;-1.95
-1.11;2.21;-7.52
-0.18;4.63;-8.51
-0.15;7.27;-8.01
-1.29;10.66;-4.88
-0.79;8.95;-1.95
-1.14;11.45;-1.31
-1.22;10.73;0.01
1.03;7.09;3.29
-0.29;9.02;6.86
-0.47;6.34;6.11
-0.36;6.09;7.97
0.75;5.81;8.50
2.24;4.63;8.86
0.96;6.06;9.00
2.32;2.17;9.25
1.53;2.88;9.04
1.74;2.06;9.25
2.64;-0.26;7.97
2.92;-0.36;8.75
2.81;-0.72;8.68
2.85;-0.29;9.00
2.78;-0.22;8.61
2.81;-0.29;9.00
2.64;0.32;9.89
2.99;0.10;9.68
2.60;0.71;9.32
2.57;0.71;9.68
2.32;0.78;9.36
2.46;0.81;9.89
2.46;1.14;10.00
2.35;1.17;9.82
2.49;0.99;9.61
2.46;0.99;9.57
2.24;0.99;9.54
2.49;1.03;9.61
2.32;0.92;9.36
2.42;1.10;9.79
2.32;1.10;9.54
2.35;1.14;9.39
2.32;1.21;9.39
2.46;1.06;9.64
2.32;1.21;9.75
2.49;0.89;9.79
2.57;1.03;10.00
2.35;1.17;9.82
2.21;1.21;9.57
2.46;0.96;9.64
2.42;0.99;9.79
